title;city;district;sub_district;plz;street;bsn;url;lat;lon
Berlin-Kolleg;Berlin;Mitte;Moabit;10551;Turmstr. 75;01A04;http://www.berlin-kolleg.de;5.252.585;13.341.352.777.778
OSZ Banken und Versicherungen;Berlin;Mitte;Moabit;10557;Alt-Moabit 10;01B01;http://www.osz-banken-versicherungen.de;52.523.907;13.357.867
Schule am Schillerpark (Integrierte Sekundarschule);Berlin;Mitte;Wedding;13349;Ofener Str. 6;01K08;http://www.Schule-am-Schillerpark.de;5.255.635;13.345.781
Refik-Veseli-Schule (Integrierte Sekundarschule);Berlin;Friedrichshain-Kreuzberg;Kreuzberg;10997;Skalitzer Str. 55;02K08;http://www.schule-skalitzer.de;52.499.666;13.435.733
Abendgymnasium Prenzlauer Berg;Berlin;Pankow;Prenzlauer Berg;10439;Driesener Str.22;03A04;http://www.abendgymnasium-berlin.de;52.552.015;13.405.672
Volkshochschule Pankow;Berlin;Pankow;Prenzlauer Berg;10409;Hanns-Eisler-Str. 78-80;03A05;http://www.zbw-pankow.de;5.254.002;13.451.861
Charlotte-Wolff-Kolleg;Berlin;Charlottenburg-Wilmersdorf;Charlottenburg;10627;Pestalozzistr. 40-41;04A04;http://www.charlotte-wolff-kolleg.de;525.716.395;134.049.527
Peter-A.-Silbermann-Schule;Berlin;Charlottenburg-Wilmersdorf;Wilmersdorf;10713;Blissestr. 22;04A06;http://www.abendgymnasium.de;52.484.225;13.319.487
OSZ Kraftfahrzeugtechnik;Berlin;Charlottenburg-Wilmersdorf;Charlottenburg;10585;Gierkeplatz 1-3;04B03;http://www.osz-kfz.de;52.517.632;1.330.217
Kläre-Bloch-Schule;Berlin;Charlottenburg-Wilmersdorf;Wilmersdorf;10715;Prinzregentenstr. 60;04B08;http://www.klaere-bloch-schule.de;5.248.237;13.333.499
Peter-Ustinov-Schule;Berlin;Charlottenburg-Wilmersdorf;Charlottenburg;14057;Kuno-Fischer-Str. 22-26;04K08;http://www.peter-ustinov-schule.de;52.504.753;13.290.931
Volkshochschule Spandau;Berlin;Spandau;Spandau;13597;Moritzstr. 17;05A03;http://www.vhs.berlin.de ;52.526.678;13.225.218
Volkshochschule Steglitz-Zehlendorf;Berlin;Steglitz-Zehlendorf;Lichterfelde;12207;Goethestr. 9-11;06A05;http://www.zbw-berlin.de;52.421.122;13.306.622
Kolleg Schöneberg;Berlin;Tempelhof-Schöneberg;Schöneberg;10787;Nürnberger Str. 63;07A05;http://www.KollegSchoeneberg.de;52.506.857;13.342.202
Volkshochschule Tempelhof-Schöneberg;Berlin;Tempelhof-Schöneberg;Friedenau;14197;Offenbacher Str. 5A;07A06;http://www.vhs-tempelhof-schoeneberg.de;5.247.524;1.332.179
Zuckmayer-Schule;Berlin;Neukölln;Neukölln;12053;Kopfstr. 55;08K10;http://www.zuckmayer-or.cidsnet.de;52.475.934;13.431.433
Treptow-Kolleg;Berlin;Treptow-Köpenick;Baumschulenweg;12437;Kiefholzstr. 274;09A05;http://www.treptow-kolleg.de;52.468.018;13.483.923
Volkshochschule Treptow-Köpenick;Berlin;Treptow-Köpenick;Oberschöneweide;12459;Zeppelinstr. 76-80;09A06;;52.546.984;13.184.843
OSZ Wirtschaft und Sozialversicherung;Berlin;Treptow-Köpenick;Oberschöneweide;12459;Helmholtzstr. 37;09B03;http://www.osz-wiso.de;52.468.411;13.514.612
Victor-Klemperer-Kolleg;Berlin;Marzahn-Hellersdorf;Marzahn;12681;Martha-Arendsee-Str. 15;10A04;http://www.abi-vkk.de;52.536.251;13.538.921
Oscar-Tietz-Schule (OSZ Handel II);Berlin;Marzahn-Hellersdorf;Marzahn;12681;Marzahner Chaussee 231;10B01;http://www.oscar-tietz-schule.de;52.530.273;1.353.315
Kerschensteiner-Schule;Berlin;Marzahn-Hellersdorf;Marzahn;12689;Golliner Str. 2;10K03;http://www.k-iss.de;52.566.739;13.579.472
BmU-Wirtschafts- und Steuerfachschule für den Mittelstand;Berlin;Lichtenberg;Fennpfuhl;10369;Franz-Jacob-Str. 2C;11E13;http://www.bmu-wirtschafts-und-steuerfachschule.de;52.524.974;13.465.295
Georg-Schlesinger-Schule (OSZ Maschinen- und Fertigungstechnik);Berlin;Reinickendorf;Reinickendorf;13409;Kühleweinstr. 5;12B01;http://www.gs-schule.de;52.562.039;13.370.665
Emil-Fischer-Schule (OSZ Ernährung und Lebensmitteltechnik);Berlin;Reinickendorf;Wittenau;13437;Cyclopstr. 1-5;12B02;http://www.emilfischerschule.de;52.600.452;13.326.235
